TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
181.335,45.016,22.062,0.871,1.75251e+15
205.21,50.546,26.821,1.052,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
194.31,29.987,4.999,1.704,1.75251e+15
183.69,46.258,21.501,0,1.75251e+15
185.172,38.684,18.686,1.242,1.75251e+15
183.89,55.706,26.63,0,1.75251e+15
145.206,39.085,18.365,0.871,1.75251e+15
214.117,77.176,38.183,0,1.75251e+15
166.146,47.661,26.32,1.442,1.75251e+15
179.731,46.709,22.213,0,1.75251e+15
181.525,62.549,40.317,0.952,1.75251e+15
288.198,66.095,12.554,0,1.75251e+15
162.359,28.033,7.334,0.641,1.75251e+15
303.578,102.034,41.97,0,1.75251e+15
285.673,82.908,48.092,1.813,1.75251e+15
218.506,49.204,23.865,0,1.75251e+15
160.025,45.787,23.154,1.322,1.75251e+15
194.33,67.979,22.863,0,1.75251e+15
185.002,53.682,28.304,1.142,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
249.434,83.809,53.372,1.923,1.75251e+15
222.463,65.564,39.885,0,1.75251e+15
199.97,41.118,20.189,0.861,1.75251e+15
194.23,34.495,8.026,0,1.75251e+15
156.318,43.112,19.597,1.102,1.75251e+15
148.111,61.748,23.785,0,1.75251e+15
175.644,45.396,22.503,1.393,1.75251e+15
187.096,70.024,8.937,0,1.75251e+15
144.495,43.111,20.158,1.002,1.75251e+15
145.146,42.672,21.712,0.731,1.75251e+15
162.038,46.028,23.624,1.502,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
212.284,41.409,18.805,1.634,1.75251e+15
201.173,56.858,27.663,0,1.75251e+15
240.227,79.651,44.345,2.895,1.75251e+15
170.554,41.529,18.967,0,1.75251e+15
192.867,62.409,30.589,3.156,1.75251e+15
158.571,48.162,22.793,0,1.75251e+15
156.037,37.422,18.075,0.841,1.75251e+15
140.046,56.358,20.439,0,1.75251e+15
190.402,61.216,32.922,1.223,1.75251e+15
226.57,48.593,22.813,0,1.75251e+15
186.174,53.291,28.664,1.032,1.75251e+15
169.833,48.281,23.735,0,1.75251e+15
275.965,43.994,22.923,1.183,1.75251e+15
153.091,41.398,19.808,0,1.75251e+15
266.276,55.927,23.494,1.513,1.75251e+15
174.943,49.353,24.406,0,1.75251e+15
244.585,62.268,23.264,1.143,1.75251e+15
120.099,34.866,17.273,0,1.75251e+15
149.444,44.565,24.696,1.563,1.75251e+15
143.974,36.971,17.714,0,1.75251e+15
127.121,43.893,20.459,1.403,1.75251e+15
152.309,50.917,18.615,0,1.75251e+15
161.727,42.271,22.072,1.213,1.75251e+15
186.625,52.7,27.712,0,1.75251e+15
136.079,48.382,23.605,2.505,1.75251e+15
246.479,66.086,33.604,0,1.75251e+15
159.494,47.77,24.136,1.783,1.75251e+15
234.136,94.921,41.869,0,1.75251e+15
174.401,46.929,25.278,1.502,1.75251e+15
181.104,51.889,24.857,0,1.75251e+15
168.751,58.962,33.724,1.623,1.75251e+15
167.509,48.783,23.284,0,1.75251e+15
213.446,56.427,30.578,1.172,1.75251e+15
340.337,88.118,36.84,0,1.75251e+15
172.348,40.387,19.317,1.132,1.75251e+15
155.766,47.821,24.346,1.323,1.75251e+15
TotalMessageProcessingTimeDENM [us],DatabaseUpdateDENM [us],LookupAndUpdateEvent_Time [us],InsertEvent_Time [us],DecodedMessageProcessingTime [us]
302.826,56.537,27.663,2.465,1.75251e+15
212.484,73.771,33.523,0,1.75251e+15
